Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,# TICKET,Unidad de Negocio,Sociedad,Area,Fecha (Solicitud) ,Reporte,Mes,Prioridad,Categoria,Tipo,Solicitado Por,Tiempo estimado según prioridad (dd/mm/aa),Fecha de Inicio  (dd/mm/aa),"Fecha Terminación (D,M,A)",Mes Terminacion,Ejecutado según SLA,Tiempo Terminado Vs solicitado,Dias desde solicitado,Tiempo Terminado Vs solicitado2,Status,Ejecutor,Presupuesto,Materiales,Link de soporte,Foto
,ORD-2025-0085,Real State,"Bodegas Industriales, S.A.",Area Comun,2024-04-19 00:00:00,Se deben de colocar señalización al borde del área de carga,Abril 2024,Baja,Pintura,Correctivo,Facility,2024-05-19 00:00:00,13/12/2024,2025-01-10 00:00:00,Enero 2025,Atrasado,266,495,2149-12-16 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0084,Real State,"Bodegas Industriales, S.A.",Area Comun,2024-04-19 00:00:00,Se deben de colocar señalizaciones en los estacionamientos,Abril 2024,Baja,Pintura,Correctivo,Facility,2024-05-19 00:00:00,13/12/2024,2025-01-08 00:00:00,Enero 2025,Atrasado,264,495,2149-12-16 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0308,Real State,"Bodegas Industriales, S.A.",Area Comun,2024-05-14 00:00:00,Se reportar que las mallas de metal que se encuentran detras de los extractores de aires se encuentran en mal estado,Mayo 2024,Baja,Otros,Correctivo,Facility,2024-06-13 00:00:00,28/01/2025,2025-01-28 00:00:00,Enero 2025,Atrasado,259,470,2150-01-10 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0307,Real State,"Bodegas Industriales, S.A.",Area Comun,2024-05-15 00:00:00,"Se debe de realizar una reparacion integral del techo, cambio de laminas y pintado de este",Mayo 2024,Media,Filtración/Goteras,Proyectos especiales,Facility,2024-05-30 00:00:00,2024-05-08 00:00:00,2025-04-09 00:00:00,Abril 2025,Atrasado,329,469,2150-01-11 00:00:00,Finalizado,Facility,,,,-
,ORD-2025-0309,Real State,"Inmobiliaria Cuca, S.A.",Apartamento 2,2024-05-15 00:00:00,Se debe de realizar cambio de titular del medidor de agua,Mayo 2024,Baja,Plomeria ,Proyectos especiales,Cliente,2024-06-14 00:00:00,,,,En Espera,En Espera de Informacion,469,2150-01-11 00:00:00,Sin realizar,Proovedor,,,,-
,ORD-2025-0276,Real State,"Tower Consortium, S.A. ",Oficina 32-B,2024-06-05 00:00:00,se reporta lamparas quemadas en el area de oficinas abiertas,Junio 2024,Baja,Iluminacion,Correctivo,Cliente,2024-07-05 00:00:00,2025-03-13 00:00:00,2025-03-13 00:00:00,Marzo 2025,Atrasado,281,448,2150-02-01 00:00:00,Finalizado,,,,,-
